AttackName,IsTargeted,DefenseName,ImageId,PredictedLabel,TrueLabel,TargetClass
iter_target_class,True,ens_adv_inception_resnet_v2,ecaf98c8ce9f04c3,561,561,697
iter_target_class,True,ens_adv_inception_resnet_v2,12fb008451be82d4,583,583,555
iter_target_class,True,ens_adv_inception_resnet_v2,5224fec9ba33b50d,604,604,532
iter_target_class,True,ens_adv_inception_resnet_v2,9a1c67f467b9beea,303,303,90
iter_target_class,True,ens_adv_inception_resnet_v2,19935b1c0a4d305d,761,761,642
iter_target_class,True,ens_adv_inception_resnet_v2,f2d36d089779166a,349,349,805
step_target_class,True,ens_adv_inception_resnet_v2,c179282bd977c6e0,672,672,105
iter_target_class,True,ens_adv_inception_resnet_v2,90ab38bb74020d5a,647,647,141
random_noise,False,ens_adv_inception_resnet_v2,1394faa319bd353c,610,610,507
iter_target_class,True,ens_adv_inception_resnet_v2,1a94dc47fdd84a95,870,870,830
iter_target_class,True,ens_adv_inception_resnet_v2,3bd1ba0432603b28,921,921,89
iter_target_class,True,ens_adv_inception_resnet_v2,e5948d6294eb8ca3,887,887,676
iter_target_class,True,ens_adv_inception_resnet_v2,200735f93ea764f2,309,309,285
iter_target_class,True,ens_adv_inception_resnet_v2,96e77c20bf94ecb1,818,818,518
iter_target_class,True,ens_adv_inception_resnet_v2,038fd7a750733bb5,18,18,103
random_noise,False,ens_adv_inception_resnet_v2,b3ba6f0352a29b2d,752,752,563
iter_target_class,True,ens_adv_inception_resnet_v2,2f7d5ff922af55c4,481,481,633
fgsm,False,ens_adv_inception_resnet_v2,477bf90e7413df23,542,542,836
step_target_class,True,ens_adv_inception_resnet_v2,fe94909a2fad4ffe,547,547,965
random_noise,False,ens_adv_inception_resnet_v2,8a02b6196885c394,760,760,447
noop,False,ens_adv_inception_resnet_v2,589319c64adf5fce,699,699,588
noop,False,ens_adv_inception_resnet_v2,a92babc0a6436d3b,760,760,655
fgsm,False,ens_adv_inception_resnet_v2,a920691cf2d50f79,979,947,952
step_target_class,True,ens_adv_inception_resnet_v2,95d6a4087f394d8b,750,750,541
iter_target_class,True,ens_adv_inception_resnet_v2,81a7637c67f4f777,490,490,836
fgsm,False,ens_adv_inception_resnet_v2,5224fec9ba33b50d,604,604,532
noop,False,ens_adv_inception_resnet_v2,8020698d79dc39f2,855,855,954
iter_target_class,True,ens_adv_inception_resnet_v2,e648427e38e80ff8,888,888,617
fgsm,False,ens_adv_inception_resnet_v2,2c54b60a2851b8ed,657,657,577
fgsm,False,ens_adv_inception_resnet_v2,c135b139d293f7f2,347,347,491
random_noise,False,ens_adv_inception_resnet_v2,a8631b077e74f7aa,480,480,486
iter_target_class,True,ens_adv_inception_resnet_v2,49b1adfeb8ffcabd,932,932,671
fgsm,False,ens_adv_inception_resnet_v2,8800cff23fade16a,532,532,314
fgsm,False,ens_adv_inception_resnet_v2,4063377442ea93d3,596,596,814
fgsm,False,ens_adv_inception_resnet_v2,3d6e530955c60759,512,512,892
iter_target_class,True,ens_adv_inception_resnet_v2,1cfa5381359bff9f,422,422,852
fgsm,False,ens_adv_inception_resnet_v2,eee6f4bcc8468f77,964,964,714
fgsm,False,ens_adv_inception_resnet_v2,9534108b0e8dceb1,647,647,822
fgsm,False,ens_adv_inception_resnet_v2,a00c8d22e63497c4,431,431,892
fgsm,False,ens_adv_inception_resnet_v2,b74c05ecff5f99d8,407,407,568
noop,False,ens_adv_inception_resnet_v2,2c065d2dc6b2cf44,934,934,463
iter_target_class,True,ens_adv_inception_resnet_v2,0e9bdc3ab80b1a71,367,367,335
iter_target_class,True,ens_adv_inception_resnet_v2,0d29832e5da60f5f,973,973,181
fgsm,False,ens_adv_inception_resnet_v2,858ec91996beb034,686,686,962
iter_target_class,True,ens_adv_inception_resnet_v2,c96c3eab644075d3,348,348,300
iter_target_class,True,ens_adv_inception_resnet_v2,093402dc35f59027,734,734,113
iter_target_class,True,ens_adv_inception_resnet_v2,95d6a4087f394d8b,750,750,541
iter_target_class,True,ens_adv_inception_resnet_v2,5b3a8c63e41802e7,750,750,758
iter_target_class,True,ens_adv_inception_resnet_v2,92c3f5e99d8ac862,664,664,362
iter_target_class,True,ens_adv_inception_resnet_v2,3f40eba168e5d385,515,515,936
iter_target_class,True,ens_adv_inception_resnet_v2,44982b98ba192bb7,322,322,411
iter_target_class,True,ens_adv_inception_resnet_v2,dde9f0aadcb02874,981,981,640
fgsm,False,ens_adv_inception_resnet_v2,dde33b51c8c152d2,735,735,969
noop,False,ens_adv_inception_resnet_v2,8da3593258ae27cb,581,581,399
fgsm,False,ens_adv_inception_resnet_v2,2d95297e468bdf9b,866,866,526
iter_target_class,True,ens_adv_inception_resnet_v2,8df3dc0c3fef1824,951,951,843
iter_target_class,True,ens_adv_inception_resnet_v2,d3aa8ee50458c020,431,431,874
step_target_class,True,ens_adv_inception_resnet_v2,e1c702ed9842dd1c,693,693,757
iter_target_class,True,ens_adv_inception_resnet_v2,4f5464b7d4682441,976,976,607
noop,False,ens_adv_inception_resnet_v2,582663fe666aac9c,923,923,928
fgsm,False,ens_adv_inception_resnet_v2,1d4133f5bc7af193,141,141,911
step_target_class,True,ens_adv_inception_resnet_v2,67dd47336dc89421,818,818,949
random_noise,False,ens_adv_inception_resnet_v2,b7d9e1d8cf1d7912,519,519,485
noop,False,ens_adv_inception_resnet_v2,fccab516c111d524,650,650,757
random_noise,False,ens_adv_inception_resnet_v2,d158837db31ed892,519,519,804
fgsm,False,ens_adv_inception_resnet_v2,9f3afb58c061c290,89,981,754
noop,False,ens_adv_inception_resnet_v2,ea65c0ff71e7ceb3,404,404,737
fgsm,False,ens_adv_inception_resnet_v2,74bfc95412b2f824,672,672,655
fgsm,False,ens_adv_inception_resnet_v2,10db986bad48a9d5,420,894,134
fgsm,False,ens_adv_inception_resnet_v2,44aa69f642b86628,880,880,549
fgsm,False,ens_adv_inception_resnet_v2,9aba31a4b2404aa5,912,912,495
fgsm,False,ens_adv_inception_resnet_v2,7d253f78ef6f029a,683,683,92
noop,False,ens_adv_inception_resnet_v2,9876fe92d003c9d4,913,913,357
noop,False,ens_adv_inception_resnet_v2,d7de327bbf412965,490,490,660
noop,False,ens_adv_inception_resnet_v2,435137d9d4f4125e,2,2,269
random_noise,False,ens_adv_inception_resnet_v2,d3a88c50958b1b5f,977,977,1000
noop,False,ens_adv_inception_resnet_v2,b58e8d136aff5a50,625,625,565
noop,False,ens_adv_inception_resnet_v2,2bc6c55a0ab24f86,786,786,697
noop,False,ens_adv_inception_resnet_v2,659ca4ac6cc57e89,778,778,590
noop,False,ens_adv_inception_resnet_v2,38c6124f40b8d845,896,896,19
noop,False,ens_adv_inception_resnet_v2,56dbd7d814ef5c58,254,254,277
iter_target_class,True,ens_adv_inception_resnet_v2,62e0e0efc6deeef4,971,971,772
iter_target_class,True,ens_adv_inception_resnet_v2,b5548ecffa20aac8,934,934,108
iter_target_class,True,ens_adv_inception_resnet_v2,7d7a8e41b8d0577e,965,965,182
iter_target_class,True,ens_adv_inception_resnet_v2,721804d1d3a60206,909,909,34
iter_target_class,True,ens_adv_inception_resnet_v2,24312de5c34473c0,874,874,820
fgsm,False,ens_adv_inception_resnet_v2,d531a31add433f46,764,764,769
iter_target_class,True,ens_adv_inception_resnet_v2,0f9d8c86a9f38020,760,760,118
iter_target_class,True,ens_adv_inception_resnet_v2,784232355d49601b,327,327,161
noop,False,ens_adv_inception_resnet_v2,96e77c20bf94ecb1,818,818,518
noop,False,ens_adv_inception_resnet_v2,8c975de17f3247d1,650,650,526
noop,False,ens_adv_inception_resnet_v2,e5948d6294eb8ca3,887,887,676
noop,False,ens_adv_inception_resnet_v2,038fd7a750733bb5,18,18,103
noop,False,ens_adv_inception_resnet_v2,1a94dc47fdd84a95,870,870,830
noop,False,ens_adv_inception_resnet_v2,c98a8640dcfaa5e0,747,747,847
noop,False,ens_adv_inception_resnet_v2,90ab38bb74020d5a,647,647,141
iter_target_class,True,ens_adv_inception_resnet_v2,b648e8dfcb4fbc99,982,982,572
noop,False,ens_adv_inception_resnet_v2,9c509bfb75167fb0,641,641,748
noop,False,ens_adv_inception_resnet_v2,71080285ad6cb4e9,456,456,478
noop,False,ens_adv_inception_resnet_v2,7e0fb7f80ffa514b,655,655,405
step_target_class,True,ens_adv_inception_resnet_v2,4d008626b4b68665,108,108,780
noop,False,ens_adv_inception_resnet_v2,1c924877ccc60129,827,410,567
step_target_class,True,ens_adv_inception_resnet_v2,330b9cb3cd80c88b,534,534,431
step_target_class,True,ens_adv_inception_resnet_v2,a8631b077e74f7aa,480,480,486
noop,False,ens_adv_inception_resnet_v2,e91abe0f1a7a30f4,752,752,495
step_target_class,True,ens_adv_inception_resnet_v2,40f79488e3c2d6c4,918,918,749
noop,False,ens_adv_inception_resnet_v2,707bce947d54bcd8,947,947,941
noop,False,ens_adv_inception_resnet_v2,8f5eda0b6a910b43,950,950,918
noop,False,ens_adv_inception_resnet_v2,d97c1f3f1c211d1a,979,979,467
random_noise,False,ens_adv_inception_resnet_v2,74bfc95412b2f824,672,672,655
random_noise,False,ens_adv_inception_resnet_v2,9aba31a4b2404aa5,912,912,495
random_noise,False,ens_adv_inception_resnet_v2,9f3afb58c061c290,2,981,754
random_noise,False,ens_adv_inception_resnet_v2,10db986bad48a9d5,841,894,134
fgsm,False,ens_adv_inception_resnet_v2,87a2147620d5e1cb,780,780,290
fgsm,False,ens_adv_inception_resnet_v2,8f97e3fface13e4d,472,472,548
random_noise,False,ens_adv_inception_resnet_v2,44aa69f642b86628,880,880,549
random_noise,False,ens_adv_inception_resnet_v2,fae45093bad0961a,529,529,528
fgsm,False,ens_adv_inception_resnet_v2,303781188f1b3b27,477,477,339
noop,False,ens_adv_inception_resnet_v2,4f04ca75d7aafc0a,840,840,633
fgsm,False,ens_adv_inception_resnet_v2,f5b0ed0fbb3b5f74,567,567,645
fgsm,False,ens_adv_inception_resnet_v2,d158837db31ed892,519,519,804
fgsm,False,ens_adv_inception_resnet_v2,6609c25b3314b5b3,512,512,878
fgsm,False,ens_adv_inception_resnet_v2,715335d5ddfca1f2,481,481,915
fgsm,False,ens_adv_inception_resnet_v2,1733cbc68a2ae05d,556,556,892
noop,False,ens_adv_inception_resnet_v2,81a7637c67f4f777,490,490,836
fgsm,False,ens_adv_inception_resnet_v2,e4941a341ace171a,709,709,298
noop,False,ens_adv_inception_resnet_v2,2f7d5ff922af55c4,481,481,633
fgsm,False,ens_adv_inception_resnet_v2,0134ba03294509a1,982,982,355
step_target_class,True,ens_adv_inception_resnet_v2,1b57d7bbd673c771,423,423,927
fgsm,False,ens_adv_inception_resnet_v2,c02ff39fe5832f4b,906,905,675
fgsm,False,ens_adv_inception_resnet_v2,93114736f072d6d3,617,617,763
fgsm,False,ens_adv_inception_resnet_v2,803450d936b35ebb,934,934,258
noop,False,ens_adv_inception_resnet_v2,df874264566c58a9,742,742,152
fgsm,False,ens_adv_inception_resnet_v2,696f0f6bea562bf8,854,854,267
fgsm,False,ens_adv_inception_resnet_v2,00312c7e7196baf4,327,327,220
fgsm,False,ens_adv_inception_resnet_v2,1484479b7630af0a,702,702,904
fgsm,False,ens_adv_inception_resnet_v2,411c5d79017077f4,82,82,677
noop,False,ens_adv_inception_resnet_v2,4fcc9c949d66a4e0,771,771,104
noop,False,ens_adv_inception_resnet_v2,c17d39b1eba4cc03,669,669,732
noop,False,ens_adv_inception_resnet_v2,c3f452167c39302f,296,296,922
iter_target_class,True,ens_adv_inception_resnet_v2,b97f4b95ae696316,518,518,399
noop,False,ens_adv_inception_resnet_v2,506b87b78daa499c,821,821,244
noop,False,ens_adv_inception_resnet_v2,a8fca010774a1187,829,829,810
noop,False,ens_adv_inception_resnet_v2,beb3e55c385feb12,815,815,881
noop,False,ens_adv_inception_resnet_v2,73a52afd2f818ed5,439,439,696
noop,False,ens_adv_inception_resnet_v2,c4824f023903731a,738,738,817
noop,False,ens_adv_inception_resnet_v2,313ff0037b86260a,498,498,610
iter_target_class,True,ens_adv_inception_resnet_v2,90e11aa7c36c64f2,950,950,1
iter_target_class,True,ens_adv_inception_resnet_v2,919a6f1d23c6d05e,145,145,983
iter_target_class,True,ens_adv_inception_resnet_v2,16bbe588e0ecc6ab,142,142,168
iter_target_class,True,ens_adv_inception_resnet_v2,24726d9054e9d78f,545,545,455
iter_target_class,True,ens_adv_inception_resnet_v2,62ebd5f7ce015380,631,631,692
iter_target_class,True,ens_adv_inception_resnet_v2,611f453c4bb616b9,310,310,65
fgsm,False,ens_adv_inception_resnet_v2,6374e7e35ad90f50,39,39,771
fgsm,False,ens_adv_inception_resnet_v2,749ed3502293d019,475,475,578
iter_target_class,True,ens_adv_inception_resnet_v2,df58f94361c6d105,610,610,13
iter_target_class,True,ens_adv_inception_resnet_v2,3efa3df701898afd,723,737,1000
iter_target_class,True,ens_adv_inception_resnet_v2,6711e27733cfd050,718,718,733
fgsm,False,ens_adv_inception_resnet_v2,04cb9de291399d15,465,465,451
iter_target_class,True,ens_adv_inception_resnet_v2,4053a6a3d0e63c01,392,392,460
iter_target_class,True,ens_adv_inception_resnet_v2,dd984311bff04342,118,118,524
noop,False,ens_adv_inception_resnet_v2,58420b727fcab02b,138,138,168
noop,False,ens_adv_inception_resnet_v2,c9302f3b2b0452e4,884,884,892
noop,False,ens_adv_inception_resnet_v2,d6d192c5786f29f5,473,473,830
noop,False,ens_adv_inception_resnet_v2,0e71473957df4793,878,878,348
fgsm,False,ens_adv_inception_resnet_v2,62949c357e429690,889,973,116
noop,False,ens_adv_inception_resnet_v2,393d40f3a6a79400,328,328,846
noop,False,ens_adv_inception_resnet_v2,e3c3f8889ac99aec,536,536,897
noop,False,ens_adv_inception_resnet_v2,7e4c41563370bed1,719,719,945
random_noise,False,ens_adv_inception_resnet_v2,d7d8fc1442a82a8e,22,22,846
random_noise,False,ens_adv_inception_resnet_v2,4d1237ccbd9a5b4b,815,815,423
step_target_class,True,ens_adv_inception_resnet_v2,17f3b8a057bc01be,859,859,575
iter_target_class,True,ens_adv_inception_resnet_v2,564de663adeb8cd5,558,558,133
iter_target_class,True,ens_adv_inception_resnet_v2,aa4e1cf9cb6e7801,896,896,840
random_noise,False,ens_adv_inception_resnet_v2,4bb12984b41d0834,34,34,8
random_noise,False,ens_adv_inception_resnet_v2,059da9a174262427,254,254,630
random_noise,False,ens_adv_inception_resnet_v2,686ea4ec999364ff,459,459,554
random_noise,False,ens_adv_inception_resnet_v2,4f9f0b75f5b04524,58,58,897
random_noise,False,ens_adv_inception_resnet_v2,e957c417fcd20c5b,820,820,791
random_noise,False,ens_adv_inception_resnet_v2,8f9c1e4fd9f4cb2e,17,17,498
random_noise,False,ens_adv_inception_resnet_v2,72e6ba0cc7fb30a6,875,875,834
random_noise,False,ens_adv_inception_resnet_v2,04546cc5e537d7cd,426,426,649
random_noise,False,ens_adv_inception_resnet_v2,d7de327bbf412965,747,490,660
random_noise,False,ens_adv_inception_resnet_v2,435137d9d4f4125e,2,2,269
step_target_class,True,ens_adv_inception_resnet_v2,e5948d6294eb8ca3,887,887,676
step_target_class,True,ens_adv_inception_resnet_v2,038fd7a750733bb5,18,18,103
step_target_class,True,ens_adv_inception_resnet_v2,96e77c20bf94ecb1,818,818,518
step_target_class,True,ens_adv_inception_resnet_v2,8c975de17f3247d1,650,650,526
step_target_class,True,ens_adv_inception_resnet_v2,90ab38bb74020d5a,647,647,141
step_target_class,True,ens_adv_inception_resnet_v2,3bd1ba0432603b28,921,921,89
random_noise,False,ens_adv_inception_resnet_v2,29279d12ed3e29ff,458,458,328
random_noise,False,ens_adv_inception_resnet_v2,0ed355357757528d,763,763,795
random_noise,False,ens_adv_inception_resnet_v2,38c6124f40b8d845,896,896,19
random_noise,False,ens_adv_inception_resnet_v2,56dbd7d814ef5c58,254,254,277
random_noise,False,ens_adv_inception_resnet_v2,2bc6c55a0ab24f86,786,786,697
random_noise,False,ens_adv_inception_resnet_v2,659ca4ac6cc57e89,778,778,590
random_noise,False,ens_adv_inception_resnet_v2,c10f6e0689efbc1c,888,888,297
step_target_class,True,ens_adv_inception_resnet_v2,f2d36d089779166a,349,349,805
fgsm,False,ens_adv_inception_resnet_v2,e5f15610a22098bb,672,672,575
step_target_class,True,ens_adv_inception_resnet_v2,506b87b78daa499c,821,821,244
fgsm,False,ens_adv_inception_resnet_v2,8c6edf1ddfb61102,889,889,123
fgsm,False,ens_adv_inception_resnet_v2,c609f86fa706bb9e,113,113,889
fgsm,False,ens_adv_inception_resnet_v2,22712d0324d43ef2,898,898,847
fgsm,False,ens_adv_inception_resnet_v2,6b27728f0f816dc6,638,638,874
fgsm,False,ens_adv_inception_resnet_v2,1f71668ab3dbe81b,709,709,967
fgsm,False,ens_adv_inception_resnet_v2,b3c384a2d1a391c0,631,631,456
fgsm,False,ens_adv_inception_resnet_v2,d0fe8afb55c3c7cd,484,498,778
fgsm,False,ens_adv_inception_resnet_v2,15d27dbdc9eeda7f,469,469,765
step_target_class,True,ens_adv_inception_resnet_v2,95fbd20d0aaf319a,826,826,300
noop,False,ens_adv_inception_resnet_v2,da7e65bc80814f37,788,788,603
random_noise,False,ens_adv_inception_resnet_v2,d25df1a8259d3fdf,161,161,833
step_target_class,True,ens_adv_inception_resnet_v2,39a483e9a23716ed,676,676,646
fgsm,False,ens_adv_inception_resnet_v2,979757e16b67ac7e,323,323,798
step_target_class,True,ens_adv_inception_resnet_v2,3ece3c1f94e4141a,332,332,15
iter_target_class,True,ens_adv_inception_resnet_v2,5a0e21d54b9c4954,328,328,146
fgsm,False,ens_adv_inception_resnet_v2,0c7ac4a8c9dfa802,306,306,779
fgsm,False,ens_adv_inception_resnet_v2,b2a7e558f1a3ff16,620,620,536
fgsm,False,ens_adv_inception_resnet_v2,0b1d45bd9ab1064e,561,561,563
fgsm,False,ens_adv_inception_resnet_v2,a70b1cda0776cba6,143,143,119
fgsm,False,ens_adv_inception_resnet_v2,66aa56675136bbab,470,470,607
fgsm,False,ens_adv_inception_resnet_v2,0546b47c13f154d3,108,108,318
fgsm,False,ens_adv_inception_resnet_v2,60566d5680497389,473,473,544
fgsm,False,ens_adv_inception_resnet_v2,c35cd0d5673ec1db,963,963,367
iter_target_class,True,ens_adv_inception_resnet_v2,e4941a341ace171a,709,709,298
iter_target_class,True,ens_adv_inception_resnet_v2,2842a69bf5b14526,880,880,757
iter_target_class,True,ens_adv_inception_resnet_v2,803450d936b35ebb,934,934,258
iter_target_class,True,ens_adv_inception_resnet_v2,be5543dc68f0b970,780,780,636
step_target_class,True,ens_adv_inception_resnet_v2,2200794c59b1808e,311,311,214
iter_target_class,True,ens_adv_inception_resnet_v2,93114736f072d6d3,617,617,763
iter_target_class,True,ens_adv_inception_resnet_v2,1484479b7630af0a,702,702,904
iter_target_class,True,ens_adv_inception_resnet_v2,411c5d79017077f4,82,82,677
step_target_class,True,ens_adv_inception_resnet_v2,c819099fed6f0d73,962,962,777
step_target_class,True,ens_adv_inception_resnet_v2,864fffaf7a83b3f4,581,581,373
step_target_class,True,ens_adv_inception_resnet_v2,2153d9869fb5a9ef,645,645,942
step_target_class,True,ens_adv_inception_resnet_v2,b89dbfcc49dcf156,889,889,467
step_target_class,True,ens_adv_inception_resnet_v2,be97d1e63c32043e,95,95,230
step_target_class,True,ens_adv_inception_resnet_v2,1b1ffd7000d0749f,960,960,991
step_target_class,True,ens_adv_inception_resnet_v2,5bdb8268eadf57d8,852,852,968
step_target_class,True,ens_adv_inception_resnet_v2,4a251fb6d80b5137,800,800,82
random_noise,False,ens_adv_inception_resnet_v2,5c8bcfa0dbb246ab,818,818,581
random_noise,False,ens_adv_inception_resnet_v2,93394c1f9c4c0053,320,320,883
random_noise,False,ens_adv_inception_resnet_v2,4b52fd42977215b9,901,901,627
random_noise,False,ens_adv_inception_resnet_v2,b11fa0f292c0178f,702,702,901
random_noise,False,ens_adv_inception_resnet_v2,74b2e35cda75fe27,629,629,466
random_noise,False,ens_adv_inception_resnet_v2,7fd7ce3eb2bf9944,100,100,113
random_noise,False,ens_adv_inception_resnet_v2,232c22314e21f764,115,115,904
random_noise,False,ens_adv_inception_resnet_v2,72d85232abd98067,471,471,599
random_noise,False,ens_adv_inception_resnet_v2,1d5361e858fe8462,499,499,523
random_noise,False,ens_adv_inception_resnet_v2,911aebf30626ce02,875,875,731
fgsm,False,ens_adv_inception_resnet_v2,602f2c3749d6021e,747,747,106
fgsm,False,ens_adv_inception_resnet_v2,517dc655edeaf344,430,430,920
noop,False,ens_adv_inception_resnet_v2,a74f197288b10a0d,808,808,748
random_noise,False,ens_adv_inception_resnet_v2,55e85d7b58024966,968,968,615
random_noise,False,ens_adv_inception_resnet_v2,e66d732354c6baf0,301,301,72
random_noise,False,ens_adv_inception_resnet_v2,828ade8df2d14c45,888,888,988
random_noise,False,ens_adv_inception_resnet_v2,b3f200c672c5ca4f,976,976,275
noop,False,ens_adv_inception_resnet_v2,200735f93ea764f2,309,309,285
random_noise,False,ens_adv_inception_resnet_v2,b722c809657aecee,777,777,640
random_noise,False,ens_adv_inception_resnet_v2,92dbb18dd447fd75,490,490,194
random_noise,False,ens_adv_inception_resnet_v2,cb71a056a8e05bb2,320,320,941
random_noise,False,ens_adv_inception_resnet_v2,6af829a442e2e0e7,130,130,231
fgsm,False,ens_adv_inception_resnet_v2,ab8329c28d8538c3,469,469,13
fgsm,False,ens_adv_inception_resnet_v2,4cccb215bd60b3c3,33,33,341
random_noise,False,ens_adv_inception_resnet_v2,4fff343244f212cc,746,821,403
random_noise,False,ens_adv_inception_resnet_v2,2a1a60df9a58bb7c,418,650,19
noop,False,ens_adv_inception_resnet_v2,74bfc95412b2f824,672,672,655
noop,False,ens_adv_inception_resnet_v2,9aba31a4b2404aa5,912,912,495
noop,False,ens_adv_inception_resnet_v2,44aa69f642b86628,880,880,549
noop,False,ens_adv_inception_resnet_v2,fae45093bad0961a,529,529,528
noop,False,ens_adv_inception_resnet_v2,48762c2cd2ed47e1,755,755,308
noop,False,ens_adv_inception_resnet_v2,5792d4a42d2a82c8,988,988,419
noop,False,ens_adv_inception_resnet_v2,9f3afb58c061c290,981,981,754
noop,False,ens_adv_inception_resnet_v2,10db986bad48a9d5,894,894,134
iter_target_class,True,ens_adv_inception_resnet_v2,3cf4bb0637d0f182,862,862,52
iter_target_class,True,ens_adv_inception_resnet_v2,7d833ac8ab852bd2,52,52,151
noop,False,ens_adv_inception_resnet_v2,e6e677a28e3bd6d7,604,604,160
noop,False,ens_adv_inception_resnet_v2,90dfd75887f3e67b,986,986,45
iter_target_class,True,ens_adv_inception_resnet_v2,97151fe7a0a6e2e3,734,734,228
iter_target_class,True,ens_adv_inception_resnet_v2,5292f5b36a0789fa,854,854,795
iter_target_class,True,ens_adv_inception_resnet_v2,a4f718e554dd18dd,976,976,95
iter_target_class,True,ens_adv_inception_resnet_v2,e8c6f75ad26bae84,973,973,929
step_target_class,True,ens_adv_inception_resnet_v2,4b52fd42977215b9,901,901,627
step_target_class,True,ens_adv_inception_resnet_v2,b11fa0f292c0178f,702,702,901
step_target_class,True,ens_adv_inception_resnet_v2,74b2e35cda75fe27,629,629,466
step_target_class,True,ens_adv_inception_resnet_v2,7fd7ce3eb2bf9944,100,100,113
step_target_class,True,ens_adv_inception_resnet_v2,5c8bcfa0dbb246ab,818,818,581
step_target_class,True,ens_adv_inception_resnet_v2,93394c1f9c4c0053,320,320,883
step_target_class,True,ens_adv_inception_resnet_v2,74355a8c878b6814,875,875,622
step_target_class,True,ens_adv_inception_resnet_v2,f63d58b5af16091f,716,716,420
step_target_class,True,ens_adv_inception_resnet_v2,6e840c209f5733d5,442,442,750
step_target_class,True,ens_adv_inception_resnet_v2,67967c9db11151e0,252,252,820
random_noise,False,ens_adv_inception_resnet_v2,5d6c4759c26bae8c,547,547,746
fgsm,False,ens_adv_inception_resnet_v2,fccab516c111d524,484,650,757
random_noise,False,ens_adv_inception_resnet_v2,e3a740861f12f49e,820,820,900
random_noise,False,ens_adv_inception_resnet_v2,c43077b2283479be,14,14,765
random_noise,False,ens_adv_inception_resnet_v2,d6d192c5786f29f5,473,473,830
random_noise,False,ens_adv_inception_resnet_v2,0e71473957df4793,878,878,348
random_noise,False,ens_adv_inception_resnet_v2,58420b727fcab02b,138,138,168
random_noise,False,ens_adv_inception_resnet_v2,c9302f3b2b0452e4,884,884,892
random_noise,False,ens_adv_inception_resnet_v2,e3c3f8889ac99aec,536,536,897
random_noise,False,ens_adv_inception_resnet_v2,7e4c41563370bed1,719,719,945
random_noise,False,ens_adv_inception_resnet_v2,8f5e0855ca8de8ea,468,468,716
random_noise,False,ens_adv_inception_resnet_v2,393d40f3a6a79400,328,328,846
noop,False,ens_adv_inception_resnet_v2,f9f36f7774d73820,305,305,723
fgsm,False,ens_adv_inception_resnet_v2,4d008626b4b68665,108,108,780
